Family,Taxon,Specimen No.,Sex,ThL,LuL,PreL,PosL,TL,TH,TW,DL,DH,DW,LL,LH,LW
Bovidae,Aepyceros melampus,82050,F,346.2,184.4,290.7,239.9,24.7,14.5,17.5,26.0,13.6,19.9,32.4,15.6,23.3
Bovidae,Aepyceros melampus,216393,?,348.5,193.7,292.6,249.6,24.8,16.3,17.2,25.6,14.6,17.9,32.5,15.4,23.8
Bovidae,Aepyceros melampus,241588,F,339.1,191.0,283.8,246.4,24.9,14.8,16.9,27.8,13.8,18.3,33.3,14.2,22.0
Bovidae,Aepyceros melampus,261111,F,357.0,194.4,298.1,253.3,26.0,15.4,17.9,26.8,15.1,19.4,33.8,15.6,24.0
Bovidae,Alcelaphus buselaphus,17276,?,488.5,251.6,448.1,292.0,35.8,27.6,27.5,39.3,26.3,29.5,42.1,27.0,34.8
Bovidae,Alcelaphus buselaphus,82033,F,452.5,229.1,416.3,265.3,34.2,20.9,22.9,35.2,20.5,26.3,38.9,23.3,28.2
Bovidae,Alcelaphus buselaphus,162994,M,495.0,252.1,454.7,292.4,37.2,23.5,26.7,39.0,24.0,29.5,42.0,25.5,31.0
Bovidae,Alcelaphus buselaphus,162996,M,498.1,249.9,459.0,289.1,36.8,22.8,25.2,36.9,23.1,30.3,42.0,25.2,31.5
Bovidae,Alcelaphus buselaphus,172905,F,503.1,241.7,466.1,278.8,36.7,25.7,25.3,38.6,24.7,28.5,41.4,25.4,31.7
Bovidae,Antidorcas marsupialis,35864,M,322.9,181.8,269.0,235.8,23.0,12.1,14.6,25.5,11.1,18.7,31.2,14.6,21.2
Bovidae,Antidorcas marsupialis,81739,?,323.4,179.6,268.8,234.2,22.6,12.8,16.5,25.0,12.6,18.7,30.7,14.6,21.4
Bovidae,Antidorcas marsupialis,83549,M,297.7,179.1,244.2,232.6,23.2,13.0,13.6,25.0,12.4,21.1,30.8,15.3,20.6
Bovidae,Antidorcas marsupialis,173040,M,299.7,171.0,247.9,222.9,22.2,11.9,15.5,23.8,11.4,18.9,29.4,12.7,22.3
Bovidae,Antidorcas marsupialis,233055,M,341.4,190.1,286.1,245.5,24.6,13.5,17.1,26.6,14.2,19.1,32.7,16.3,22.8
Bovidae,Bison bison,22377,?,981.8,358.7,841.1,499.4,68.3,47.8,48.2,67.9,41.2,48.0,71.3,44.8,53.4
Bovidae,Bison bison,113934,M,882.0,339.4,817.7,403.8,63.3,46.9,45.3,64.1,40.9,48.2,68.1,44.1,53.7
Bovidae,Bison bison,114032,M,956.9,359.3,888.6,427.6,66.7,46.1,45.5,69.4,41.2,46.2,73.9,45.4,54.6
Bovidae,Bison bison,141896,F,744.4,299.6,744.4,299.6,58.7,40.7,39.0,56.5,34.5,40.4,60.2,35.5,45.3
Bovidae,Bison bison,175783,M,947.7,351.0,879.4,419.3,66.2,44.7,44.2,68.0,43.7,49.5,70.2,45.6,56.9
Bovidae,Bison bosus,310690,F,781.1,291.0,781.1,291.0,55.4,37.3,39.9,56.6,34.0,40.7,57.2,39.2,47.8
Bovidae,Bos grunniens,A14328,?,655.1,298.7,561.9,392.0,45.2,32.8,29.8,45.0,30.0,32.6,51.0,28.7,37.7
Bovidae,Bos sauveli,361392,F,665.8,316.5,616.0,366.3,47.5,32.9,35.6,48.8,31.1,36.8,52.3,30.1,39.6
Bovidae,Bos sauveli,399379,F,624.5,303.3,624.5,303.3,45.5,32.8,33.3,49.4,29.5,34.3,50.2,30.9,38.7
Bovidae,Bos taurus,277262,M,826.4,409.8,760.5,475.7,63.7,47.2,49.9,64.0,40.4,49.9,67.3,45.5,55.2
Bovidae,Boselaphus tragocamelus,269127,M,537.7,290.5,449.7,378.4,38.2,26.9,26.7,41.6,27.9,33.3,49.0,29.0,34.6
Bovidae,Bubalus depressicornis,219297,M,453.8,208.9,385.3,277.4,32.7,18.9,22.7,32.5,18.2,22.9,34.4,20.7,29.8
Bovidae,Bubalus mindorensis,219049,?,613.8,274.5,569.9,318.4,45.6,30.8,33.0,44.1,26.5,31.8,45.2,26.9,35.6
Bovidae,Cephalophus dorsalis,52898,M,242.3,147.8,220.9,169.2,17.7,11.5,13.7,20.3,11.8,15.8,25.5,12.1,18.4
Bovidae,Cephalophus dorsalis,52924,M,238.1,147.1,217.6,167.5,18.0,9.3,11.8,19.5,9.3,13.8,26.1,10.4,17.3
Bovidae,Cephalophus dorsalis,52928,F,258.5,150.7,216.1,193.1,19.1,10.5,13.6,20.6,10.4,14.3,25.8,11.9,18.4
Bovidae,Connochaetes gnou,35182,F,488.5,259.8,450.7,297.6,36.9,22.7,24.9,37.1,24.4,31.1,43.3,26.3,31.7
Bovidae,Connochaetes gnou,80020,F,455.0,237.8,417.9,274.8,34.7,21.3,24.0,34.7,22.3,29.7,41.4,26.3,32.3
Bovidae,Connochaetes gnou,81722,F,463.3,202.7,425.8,240.2,36.5,23.8,25.7,36.6,24.6,30.5,40.1,26.7,33.6
Bovidae,Connochaetes taurinus,81789,?,558.5,277.9,514.5,322.0,41.4,26.4,30.5,42.7,28.1,32.9,47.2,30.7,36.1
Bovidae,Connochaetes taurinus,163012,M,588.2,296.6,588.2,296.6,44.1,29.2,30.2,46.6,32.0,34.8,50.2,34.4,37.1
Bovidae,Connochaetes taurinus,163019,M,576.4,300.2,530.9,345.7,43.2,34.2,30.2,44.4,31.1,35.1,51.0,31.9,37.2
Bovidae,Connochaetes taurinus,216386,M,565.1,253.2,518.2,300.2,41.6,39.5,36.3,44.5,28.0,34.5,51.3,30.7,38.0
Bovidae,Connochaetes taurinus,1932.6.6.27,M,546.9,286.9,504.0,329.8,39.4,27.8,28.7,43.5,28.6,31.3,47.9,30.3,35.7
Bovidae,Damaliscus lutus,83526,F,492.1,248.7,455.1,285.7,36.8,21.2,23.4,35.9,20.3,27.6,41.3,22.2,31.3
Bovidae,Damaliscus lutus,113781,M,471.7,256.0,434.5,293.2,34.8,24.1,24.3,36.0,24.8,28.8,42.3,23.5,31.7
Bovidae,Damaliscus lutus,163008,M,470.1,241.9,433.3,278.8,34.5,21.1,22.9,35.4,21.3,24.7,40.1,22.0,29.3
Bovidae,Damaliscus lutus,163009,M,452.9,242.4,452.9,242.4,34.5,22.0,24.3,40.4,22.0,28.9,41.3,23.1,30.8
Bovidae,Damaliscus lutus,163010,M,440.2,247.8,440.2,247.8,34.4,23.5,24.8,36.4,24.8,28.0,41.8,24.8,32.7
Bovidae,Eudorcas thomsonii,82058,M,250.1,156.0,204.5,201.6,19.7,10.9,14.7,21.6,11.5,17.9,27.4,12.3,18.7
Bovidae,Eudorcas thomsonii,82059,M,240.9,151.0,199.5,192.4,19.3,10.4,13.4,20.5,10.9,14.3,26.1,12.0,17.9
Bovidae,Eudorcas thomsonii,163067,F,249.0,156.6,203.6,201.9,20.0,10.3,12.2,21.0,10.5,14.3,26.4,11.9,16.9
Bovidae,Eudorcas thomsonii,164538,M,288.9,163.5,241.4,211.0,21.3,12.5,15.8,22.0,12.4,16.4,28.3,14.3,20.2
Bovidae,Eudorcas thomsonii,172903,M,287.8,157.7,240.8,204.7,20.3,12.2,14.7,21.2,12.3,16.7,26.2,14.4,20.1
Bovidae,Gazella spekei,1935.12.13.2,M,247.2,154.7,203.9,198.0,17.2,10.0,11.6,19.7,11.0,15.7,25.9,12.8,19.2
Bovidae,Gazella spekei,1935.12.13.3,M,246.1,145.3,203.6,187.8,17.3,10.4,12.3,19.4,10.7,14.9,24.9,11.7,19.4
Bovidae,Gazella spekei,1935.12.13.4,M,256.2,157.3,191.1,222.4,17.4,10.2,13.1,19.2,10.8,16.3,27.0,12.1,19.1
Bovidae,Hippotragus niger,83476,F,502.0,270.3,419.4,353.0,36.9,23.6,28.0,39.8,23.5,29.0,45.8,26.7,32.4
Bovidae,Hippotragus niger,189374,M,532.5,283.8,403.2,413.1,40.2,24.5,30.4,41.0,24.6,34.3,49.0,27.3,41.3
Bovidae,Hippotragus niger,216381,M,505.1,276.1,422.1,359.1,36.8,27.6,28.4,40.2,26.7,32.6,46.0,29.3,35.9
Bovidae,Hippotragus niger,218780,M,519.1,288.8,475.5,332.4,37.9,26.0,27.7,41.2,23.8,33.5,48.7,27.1,37.1
Bovidae,Hippotragus niger,396597,F,489.0,257.0,410.2,335.8,34.9,24.1,27.1,37.4,23.0,29.2,42.1,25.1,37.4
Bovidae,Kobus ellipsiprymnus,53458,?,549.8,316.4,499.8,366.4,42.9,28.6,34.0,47.0,29.2,35.3,53.6,32.3,41.1
Bovidae,Kobus ellipsiprymnus,53492,M,595.0,312.5,500.0,407.5,45.2,28.4,32.0,44.8,27.3,32.8,50.8,30.2,39.5
Bovidae,Kobus ellipsiprymnus,53494,F,491.5,272.5,450.6,313.4,36.7,24.6,26.9,38.9,23.6,28.3,47.2,27.3,34.4
Bovidae,Litocranius walleri,81170,M,328.9,185.8,271.9,242.8,21.8,13.6,18.9,25.7,12.6,22.2,32.4,15.0,24.4
Bovidae,Litocranius walleri,88409,M,304.8,174.2,255.0,224.0,21.2,13.8,16.5,22.7,12.7,17.9,30.2,14.7,21.4
Bovidae,Madoqua kirkii,62.129,M,172.1,113.6,140.2,145.6,11.9,6.5,10.0,14.3,6.1,12.1,19.3,6.4,11.6
Bovidae,Madoqua kirkii,87218,M,152.1,105.8,123.1,134.8,10.9,,,13.1,,,18.5,7.4,11.7
Bovidae,Madoqua kirkii,538106,F,170.9,110.3,138.3,142.9,12.3,4.9,8.8,14.4,5.6,11.2,18.5,6.4,11.6
Bovidae,Madoqua kirkii,541419,M,165.1,100.7,134.1,131.7,11.8,6.0,8.4,13.7,5.9,11.9,18.4,7.4,12.1
Bovidae,Madoqua kirkii,1936.5.28.1,F,174.1,117.1,141.9,149.3,12.7,6.3,8.2,14.5,6.3,10.3,20.2,7.8,11.5
Bovidae,Madoqua saltia,1935.12.12.5,?,145.3,91.0,118.2,118.1,10.3,5.2,7.7,11.5,6.0,8.8,15.8,6.7,10.4
Bovidae,Madoqua saltia,1936.3.28.6,M,146.0,95.6,119.1,122.5,10.3,5.0,7.9,12.8,5.2,10.2,15.9,5.8,10.0
Bovidae,Nanger granti,85152,F,341.6,199.6,283.9,257.4,25.3,14.6,18.6,25.7,14.3,19.8,33.9,16.3,23.4
Bovidae,Nanger granti,85153,M,346.9,208.2,285.3,269.8,27.5,18.4,19.7,28.7,17.2,22.5,35.1,19.6,26.1
Bovidae,Nanger granti,163080,M,354.0,216.6,316.9,280.2,27.2,22.2,21.0,28.3,18.5,22.4,36.0,20.9,26.8
Bovidae,Nanger granti,163083,M,377.4,215.4,313.7,279.0,26.2,20.5,20.9,28.6,19.9,24.4,35.8,20.8,26.2
Bovidae,Nanger granti,1967.4.18.1,?,385.3,208.3,322.3,271.3,27.3,17.4,19.7,29.2,16.4,19.9,36.9,17.5,24.6
Bovidae,Neotragus batesi,53180,M,123.7,87.6,99.4,111.9,8.6,,,11.0,,,14.5,5.0,9.0
Bovidae,Neotragus batesi,53946,M,134.3,88.4,108.9,113.8,10.0,,,11.1,,,15.6,5.1,9.2
Bovidae,Neotragus batesi,1936.10.28.36,M,134.5,88.1,109.2,113.4,9.7,4.9,6.2,11.6,4.6,8.0,15.4,5.0,9.2
Bovidae,Neotragus batesi,1937.8.4.26,?,114.3,81.1,90.9,104.5,8.8,4.6,6.6,10.5,4.7,8.2,14.1,5.1,8.6
Bovidae,Neotragus batesi,1937.8.4.27,?,128.8,98.5,104.6,122.7,9.5,4.6,6.8,11.0,4.5,8.2,14.4,5.0,9.1
Bovidae,Neotragus pygmeus,429835,M,118.4,76.7,94.7,100.4,8.4,4.4,5.8,10.5,4.6,8.0,13.2,5.1,8.1
Bovidae,Oreotragus oreotragus,80553,M,182.7,149.8,182.7,149.8,14.5,8.5,13.4,17.7,8.7,13.7,22.5,10.2,16.5
Bovidae,Oreotragus oreotragus,82074,?,181.7,143.9,181.7,143.9,14.3,7.6,11.3,17.3,8.0,12.4,21.6,8.7,15.5
Bovidae,Oryx dammah,113804,F,491.9,272.8,412.2,352.5,35.2,21.7,23.6,37.9,22.4,26.5,46.2,26.5,30.4
Bovidae,Oryx dammah,449934,M,477.3,261.3,402.0,336.6,34.5,19.4,24.1,36.4,19.7,25.0,44.9,22.8,29.3
Bovidae,Oryx dammah,464515,M,449.7,250.4,379.6,320.4,35.3,21.3,25.5,33.6,22.6,25.5,41.7,24.7,32.5
Bovidae,Oryx dammah,575162,F,465.1,271.3,385.6,350.8,36.2,20.7,25.5,37.5,21.3,27.1,46.1,25.3,31.4
Bovidae,Oryx dammah,A35256,?,466.1,261.0,426.1,301.0,35.4,20.4,23.4,38.3,20.2,26.8,44.8,24.2,27.3
Bovidae,Ourebia ourebi,80258,M,209.1,162.7,169.8,202.0,17.0,7.8,10.1,18.5,8.0,13.6,24.3,9.7,16.0
Bovidae,Ourebia ourebi,82070,M,248.7,180.5,225.7,203.5,18.4,9.4,11.7,20.8,9.6,15.4,27.2,10.7,17.2
Bovidae,Ourebia ourebi,1928.8.2.4,?,263.3,156.6,216.4,203.4,18.6,8.4,12.3,21.4,8.5,13.9,26.5,10.4,17.2
Bovidae,Ourebia ourebi,1934.5.1.3,M,244.6,155.9,199.5,201.0,17.4,8.3,11.0,20.1,8.3,13.6,27.6,10.1,17.5
Bovidae,Ourebia ourebi,1936.3.28.7,M,206.8,170.9,185.6,192.1,16.2,7.6,11.3,19.8,8.2,13.4,26.4,10.7,17.3
Bovidae,Philantomba monticola,1901.8.9.132,F,155.5,103.1,141.0,117.6,11.3,5.2,7.9,13.7,5.4,8.5,17.4,6.9,9.9
Bovidae,Philantomba monticola,1936.10.28.28,M,171.5,108.8,139.7,140.5,12.8,6.2,9.0,14.5,7.2,11.4,18.5,8.0,11.9
Bovidae,Philantomba monticola,1936.10.28.29,M,152.5,100.7,124.1,129.1,11.1,5.8,8.2,13.0,6.0,8.8,17.6,6.8,10.6
Bovidae,Philantomba monticola,1936.10.28.30,F,184.5,115.8,150.9,149.4,14.0,6.0,8.3,15.2,6.6,10.0,19.9,7.7,11.2
Bovidae,Philantomba monticola,1936.10.28.31,F,173.4,126.5,157.6,142.3,12.6,5.8,7.6,15.2,5.8,10.4,19.1,7.0,10.9
Bovidae,Raphicerus campestris,34728,M,196.0,118.9,160.4,154.5,14.4,7.1,11.2,16.4,8.0,12.1,20.3,9.0,14.3
Bovidae,Raphicerus campestris,80538,M,179.2,141.7,161.8,159.1,13.6,7.2,8.9,16.5,7.4,11.7,21.0,8.4,14.6
Bovidae,Raphicerus campestris,586524,?,207.1,151.2,187.9,170.3,15.5,7.4,10.0,18.3,8.3,11.7,22.8,9.3,16.3
Bovidae,Raphicerus sharpei,367433,F,213.7,130.7,176.1,168.3,16.2,7.6,10.3,17.9,7.8,11.9,23.5,9.0,15.3
Bovidae,Raphicerus sharpei,367434,M,193.2,117.0,157.6,152.6,14.7,6.6,9.7,16.0,7.6,10.3,20.2,8.2,13.7
Bovidae,Raphicerus sharpei,367445,M,184.9,108.7,151.4,142.2,13.5,6.6,8.6,15.5,7.5,11.4,19.1,8.0,13.4
Bovidae,Redunca arundinum,80505,M,397.0,237.8,328.7,306.1,28.6,15.7,18.6,31.9,15.0,19.9,40.3,17.4,24.6
Bovidae,Redunca arundinum,80506,F,353.9,208.4,292.4,269.8,25.0,13.6,16.4,28.5,13.6,18.8,35.6,16.3,22.1
Bovidae,Redunca arundinum,80507,M,392.4,230.7,324.1,299.0,28.4,15.5,18.5,31.4,14.7,22.6,39.3,18.2,26.5
Bovidae,Redunca arundinum,80508,?,407.9,234.6,339.0,303.5,28.8,16.2,18.1,31.3,15.1,22.6,40.3,17.8,30.2
Bovidae,Redunca arundinum,469909,F,312.8,181.3,259.2,234.9,23.1,11.1,14.7,24.6,10.3,18.8,30.3,12.8,20.3
Bovidae,Sylvicapra grimmia,1934.4.1.194,M,236.0,140.4,214.8,161.7,17.1,8.6,12.0,20.5,,,23.7,9.8,16.7
Bovidae,Sylvicapra grimmia,1936.3.30.7,M,233.5,150.3,211.9,171.8,17.5,8.2,10.5,20.2,8.0,12.4,26.1,9.2,16.4
Bovidae,Sylvicapra grimmia,1966.10.17.1,F,254.7,155.6,231.5,178.8,20.9,9.1,11.4,21.6,9.0,13.4,26.4,10.0,17.7
Bovidae,Sylvicapra grimmia,1966.8.5.1,M,282.1,126.3,235.1,173.4,19.0,9.3,11.9,21.9,9.0,13.0,27.5,11.2,18.1
Bovidae,Syncerus caffer,53566,?,737.0,342.3,679.9,399.4,51.6,37.3,40.6,53.3,34.4,44.8,56.5,37.1,46.6
Bovidae,Syncerus caffer,82004,M,807.6,400.2,742.7,465.0,61.8,47.8,48.4,64.6,44.6,51.5,67.1,46.3,57.1
Bovidae,Syncerus caffer,82006,?,684.3,400.4,684.3,530.7,59.3,47.7,46.2,64.3,,,68.2,42.9,52.0
Bovidae,Syncerus caffer,82007,F,728.1,357.6,670.1,415.6,53.7,41.6,40.0,55.8,40.0,43.1,58.9,40.6,48.6
Bovidae,Syncerus caffer,216373,M,783.0,386.6,662.8,506.9,58.6,43.0,44.9,57.5,41.8,50.5,62.7,50.4,55.1
Bovidae,Taurotragus oryx,647.1,M,784.7,422.0,659.0,547.7,59.2,38.6,41.3,59.2,39.5,41.8,70.9,44.1,48.6
Bovidae,Taurotragus oryx,162985,M,730.7,403.5,611.3,522.9,58.1,45.7,42.5,55.5,46.3,45.2,67.8,44.9,53.8
Bovidae,Taurotragus oryx,1960.11.10.3,F,609.4,329.9,508.7,430.6,44.2,32.1,31.6,45.8,33.2,37.4,55.9,36.2,43.9
Bovidae,Tragelaphus eurycerus,449524,F,550.9,307.6,503.8,354.7,41.2,27.8,34.8,44.4,27.8,37.5,52.1,29.2,43.8
Bovidae,Tragelaphus eurycerus,542466,F,561.6,312.6,470.1,404.0,42.0,29.5,34.3,44.2,27.7,34.8,52.6,30.8,45.9
Bovidae,Tragelaphus eurycerus,34.11.9.1,F,610.9,309.7,563.1,357.5,47.3,31.9,34.9,46.7,29.7,35.0,52.0,33.1,43.2
Felidae,Acinonyx jubatus,119654,M,285.3,292.3,197.1,380.5,21.9,15.7,17.8,25.3,17.1,23.4,44.5,19.8,27.4
Felidae,Acinonyx jubatus,119655,F,274.8,282.3,187.6,369.5,20.4,15.0,17.3,24.0,17.0,24.9,44.3,18.6,29.1
Felidae,Acinonyx jubatus,395137,F,284.4,278.1,206.4,356.2,20.2,13.9,15.8,22.2,13.6,19.7,43.3,16.6,26.2
Felidae,Acinonyx jubatus,398031,M,254.6,259.3,199.7,314.2,19.2,13.3,15.1,22.3,15.8,19.8,40.9,16.5,25.0
Felidae,Acinonyx jubatus,521037,M,307.8,277.7,220.3,365.2,22.1,14.5,16.7,25.1,15.8,24.0,43.3,18.9,29.4
